variant,method,dataset,seed,test_acc,val_acc,train_time,params,peak_mem_mb
closed_form,AGT-closed,Texas,0,0.7027027010917664,0.6779661178588867,3.6144361160113476,109381,29.21630859375
closed+calib,AGT,Texas,0,0.7027027010917664,0.6271186470985413,6.21319213998504,109767,29.24560546875
agt_implicit,AGT-Implicit,Texas,0,0.7297297716140747,0.694915235042572,3.712611366994679,109767,42.7021484375
random,RandomGranularityPolicy,Texas,0,0.7027027010917664,0.6779661178588867,5.097692239971366,109381,29.21533203125
fixed_k2,FixedGranularityPolicy,Texas,0,0.6756756901741028,0.6610169410705566,4.476454813964665,109381,29.21533203125
td3,GRAIN-TD3,Texas,0,0.7027027010917664,0.6779661178588867,7.051772516977508,813896,62.41015625
closed_form,AGT-closed,Texas,1,0.7027027010917664,0.6779661178588867,3.286289861018304,109381,29.21630859375
closed+calib,AGT,Texas,1,0.6486486792564392,0.6440678238868713,5.8255291630048305,109767,29.24560546875
agt_implicit,AGT-Implicit,Texas,1,0.7027027010917664,0.7288135886192322,3.455652597011067,109767,42.7021484375
random,RandomGranularityPolicy,Texas,1,0.7297297716140747,0.694915235042572,3.6587747579906136,109381,29.21533203125
fixed_k2,FixedGranularityPolicy,Texas,1,0.7027027010917664,0.694915235042572,3.2208693790016696,109381,29.21533203125
td3,GRAIN-TD3,Texas,1,0.7567567825317383,0.7457627058029175,4.435461062006652,813896,62.41015625
closed_form,AGT-closed,Texas,2,0.5945945978164673,0.6101694703102112,3.270209767972119,109381,39.1640625
closed+calib,AGT,Texas,2,0.5945945978164673,0.6610169410705566,5.751626048004255,109767,39.193359375
agt_implicit,AGT-Implicit,Texas,2,0.7027027010917664,0.694915235042572,3.500418407958932,109767,52.07958984375
random,RandomGranularityPolicy,Texas,2,0.6216216087341309,0.6610169410705566,3.454603580001276,109381,39.1630859375
fixed_k2,FixedGranularityPolicy,Texas,2,0.6216216087341309,0.6440678238868713,3.193062984966673,109381,39.1630859375
td3,GRAIN-TD3,Texas,2,0.5945945978164673,0.6779661178588867,7.390633545990568,813896,50.44091796875
closed_form,AGT-closed,Texas,3,0.7297297716140747,0.7288135886192322,3.3058718179818243,109381,39.1640625
closed+calib,AGT,Texas,3,0.6486486792564392,0.6101694703102112,5.561070299008861,109767,39.193359375
agt_implicit,AGT-Implicit,Texas,3,0.6756756901741028,0.7288135886192322,3.509840643964708,109767,52.07958984375
random,RandomGranularityPolicy,Texas,3,0.7027027010917664,0.6440678238868713,3.4592174449935555,109381,39.1630859375
fixed_k2,FixedGranularityPolicy,Texas,3,0.6756756901741028,0.694915235042572,3.4857686750474386,109381,39.1630859375
td3,GRAIN-TD3,Texas,3,0.7567567825317383,0.6779661178588867,6.807143183017615,813896,72.35791015625
closed_form,AGT-closed,Texas,4,0.5945945978164673,0.694915235042572,4.553697619994637,109381,39.1640625
closed+calib,AGT,Texas,4,0.6486486792564392,0.6779661178588867,5.673393150966149,109767,39.193359375
agt_implicit,AGT-Implicit,Texas,4,0.7567567825317383,0.8135592937469482,3.477494902035687,109767,52.07958984375
random,RandomGranularityPolicy,Texas,4,0.6216216087341309,0.7118644118309021,3.4495921889902093,109381,39.1630859375
fixed_k2,FixedGranularityPolicy,Texas,4,0.6216216087341309,0.7288135886192322,3.2049143919721246,109381,39.1630859375
