variant,method,dataset,seed,test_acc,val_acc,train_time,params,peak_mem_mb
closed_form,AGT-closed,Wisconsin,0,0.6470588445663452,0.6875,4.804456916986965,109381,43.88330078125
closed+calib,AGT,Wisconsin,0,0.6666666865348816,0.675000011920929,8.210671620967332,109767,44.0927734375
agt_implicit,AGT-Implicit,Wisconsin,0,0.7647058963775635,0.7875000238418579,4.906387338996865,109767,61.74609375
random,RandomGranularityPolicy,Wisconsin,0,0.6470588445663452,0.737500011920929,4.782262084016111,109381,43.88232421875
fixed_k2,FixedGranularityPolicy,Wisconsin,0,0.6470588445663452,0.7125000357627869,4.461598897993099,109381,43.88232421875
td3,GRAIN-TD3,Wisconsin,0,0.6666666865348816,0.737500011920929,9.792536132968962,813896,76.63037109375
closed_form,AGT-closed,Wisconsin,1,0.7254902124404907,0.6875,4.7732970410143025,109381,57.37109375
closed+calib,AGT,Wisconsin,1,0.686274528503418,0.699999988079071,8.328300801978912,109767,57.58056640625
agt_implicit,AGT-Implicit,Wisconsin,1,0.7647058963775635,0.737500011920929,4.815004342002794,109767,75.23388671875
random,RandomGranularityPolicy,Wisconsin,1,0.7058823704719543,0.7125000357627869,4.92984300700482,109381,57.3701171875
fixed_k2,FixedGranularityPolicy,Wisconsin,1,0.7843137383460999,0.699999988079071,4.55005576898111,109381,57.3701171875
td3,GRAIN-TD3,Wisconsin,1,0.7254902124404907,0.7125000357627869,9.801807527022902,813896,90.1181640625
closed_form,AGT-closed,Wisconsin,2,0.6274510025978088,0.699999988079071,6.884880655969027,109381,70.85888671875
closed+calib,AGT,Wisconsin,2,0.6470588445663452,0.699999988079071,8.890454944048543,109767,71.068359375
agt_implicit,AGT-Implicit,Wisconsin,2,0.7647058963775635,0.7875000238418579,5.163229261990637,109767,89.939453125
random,RandomGranularityPolicy,Wisconsin,2,0.6470588445663452,0.6875,5.030333881964907,109381,70.85791015625
fixed_k2,FixedGranularityPolicy,Wisconsin,2,0.686274528503418,0.7125000357627869,4.537400919012725,109381,70.85791015625
td3,GRAIN-TD3,Wisconsin,2,0.686274528503418,0.737500011920929,8.88370105298236,813896,103.60595703125
closed_form,AGT-closed,Wisconsin,3,0.7450980544090271,0.6875,4.909086828993168,109381,47.12060546875
closed+calib,AGT,Wisconsin,3,0.7450980544090271,0.675000011920929,7.479750832018908,109767,47.330078125
agt_implicit,AGT-Implicit,Wisconsin,3,0.8039215803146362,0.7750000357627869,5.195427178987302,109767,64.9833984375
random,RandomGranularityPolicy,Wisconsin,3,0.7647058963775635,0.6875,5.043931550986599,109381,47.11962890625
fixed_k2,FixedGranularityPolicy,Wisconsin,3,0.7450980544090271,0.675000011920929,4.622365526971407,109381,47.11962890625
td3,GRAIN-TD3,Wisconsin,3,0.7843137383460999,0.6625000238418579,10.244015339994803,813896,74.48974609375
closed_form,AGT-closed,Wisconsin,4,0.686274528503418,0.625,4.8908989210030995,109381,61.52392578125
closed+calib,AGT,Wisconsin,4,0.7254902124404907,0.612500011920929,10.233371890033595,109767,61.7333984375
agt_implicit,AGT-Implicit,Wisconsin,4,0.8039215803146362,0.737500011920929,5.213410862023011,109767,79.38671875
random,RandomGranularityPolicy,Wisconsin,4,0.7647058963775635,0.6875,5.021611172996927,109381,61.52294921875
fixed_k2,FixedGranularityPolicy,Wisconsin,4,0.6274510025978088,0.675000011920929,4.619798493979033,109381,61.52294921875
td3,GRAIN-TD3,Wisconsin,4,0.7450980544090271,0.675000011920929,8.172684261051472,813896,80.353515625
closed_form,AGT-closed,Wisconsin,5,0.6274510025978088,0.699999988079071,4.8663416799972765,109381,61.52392578125
closed+calib,AGT,Wisconsin,5,0.6666666865348816,0.6500000357627869,8.315373221994378,109767,61.7333984375
agt_implicit,AGT-Implicit,Wisconsin,5,0.7647058963775635,0.737500011920929,5.138163838011678,109767,79.38671875
random,RandomGranularityPolicy,Wisconsin,5,0.6470588445663452,0.699999988079071,5.055967941007111,109381,61.52294921875
fixed_k2,FixedGranularityPolicy,Wisconsin,5,0.686274528503418,0.6875,4.657656402036082,109381,61.52294921875
td3,GRAIN-TD3,Wisconsin,5,0.6666666865348816,0.637499988079071,13.405731565027963,813896,94.27099609375
closed_form,AGT-closed,Wisconsin,6,0.7058823704719543,0.699999988079071,4.905914828006644,109381,61.55322265625
closed+calib,AGT,Wisconsin,6,0.6666666865348816,0.6625000238418579,10.732991550001316,109767,61.7626953125
agt_implicit,AGT-Implicit,Wisconsin,6,0.7647058963775635,0.7875000238418579,5.4307739429641515,109767,79.416015625
random,RandomGranularityPolicy,Wisconsin,6,0.7450980544090271,0.675000011920929,4.6983370599919,109381,61.55224609375
fixed_k2,FixedGranularityPolicy,Wisconsin,6,0.7058823704719543,0.6625000238418579,4.318789998011198,109381,61.55224609375
td3,GRAIN-TD3,Wisconsin,6,0.686274528503418,0.6625000238418579,12.099228609993588,813896,94.30029296875
closed_form,AGT-closed,Wisconsin,7,0.6274510025978088,0.7875000238418579,4.5458928210427985,109381,75.470703125
closed+calib,AGT,Wisconsin,7,0.6078431606292725,0.7875000238418579,7.738396405009553,109767,75.68017578125
agt_implicit,AGT-Implicit,Wisconsin,7,0.686274528503418,0.862500011920929,4.374284655961674,109767,93.33349609375
random,RandomGranularityPolicy,Wisconsin,7,0.6666666865348816,0.800000011920929,4.705488298961427,109381,75.4697265625
fixed_k2,FixedGranularityPolicy,Wisconsin,7,0.6470588445663452,0.762499988079071,4.3837874960154295,109381,75.4697265625
td3,GRAIN-TD3,Wisconsin,7,0.6666666865348816,0.824999988079071,8.282549681025557,813896,108.2177734375
closed_form,AGT-closed,Wisconsin,8,0.6470588445663452,0.637499988079071,4.533903826028109,109381,89.38818359375
closed+calib,AGT,Wisconsin,8,0.6274510025978088,0.6500000357627869,8.049138925038278,109767,89.59765625
agt_implicit,AGT-Implicit,Wisconsin,8,0.7450980544090271,0.7875000238418579,6.159970976004843,109767,107.2509765625
random,RandomGranularityPolicy,Wisconsin,8,0.6666666865348816,0.6875,6.598572096962016,109381,89.38720703125
fixed_k2,FixedGranularityPolicy,Wisconsin,8,0.6666666865348816,0.675000011920929,4.410249853041023,109381,89.38720703125
td3,GRAIN-TD3,Wisconsin,8,0.686274528503418,0.7125000357627869,6.539609978965018,813896,122.13525390625
closed_form,AGT-closed,Wisconsin,9,0.7254902124404907,0.625,4.557293781021144,109381,61.0380859375
closed+calib,AGT,Wisconsin,9,0.686274528503418,0.6500000357627869,8.007587462954689,109767,61.24755859375
agt_implicit,AGT-Implicit,Wisconsin,9,0.8039215803146362,0.762499988079071,4.851760799007025,109767,78.90087890625
random,RandomGranularityPolicy,Wisconsin,9,0.6470588445663452,0.6500000357627869,4.702354517008644,109381,61.037109375
fixed_k2,FixedGranularityPolicy,Wisconsin,9,0.6470588445663452,0.6500000357627869,4.489036288985517,109381,61.037109375
td3,GRAIN-TD3,Wisconsin,9,0.6470588445663452,0.675000011920929,11.153150511963759,813896,93.78515625
