variant,method,dataset,seed,test_acc,val_acc,train_time,params,peak_mem_mb
closed_form,AGT-closed,Actor,0,0.31842106580734253,0.3334704041481018,124.02921894699102,60037,270.9951171875
closed+calib,AGT,Actor,0,0.3342105448246002,0.3347039520740509,226.85116762001417,60423,283.33740234375
random,RandomGranularityPolicy,Actor,0,0.32697370648384094,0.32976973056793213,63.17911646098946,60037,270.9658203125
fixed_k2,FixedGranularityPolicy,Actor,0,0.32236844301223755,0.34333881735801697,55.6524460670189,60037,270.9658203125
td3,GRAIN-TD3,Actor,0,0.32697370648384094,0.3231907784938812,129.36540433802293,468488,291.73388671875
closed_form,AGT-closed,Actor,1,0.31973686814308167,0.3166118562221527,105.92295810900396,60037,465.93798828125
closed+calib,AGT,Actor,1,0.3052631616592407,0.32360199093818665,182.4716022820212,60423,276.48095703125
random,RandomGranularityPolicy,Actor,1,0.32697370648384094,0.3396381735801697,52.07747089699842,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,1,0.30855265259742737,0.3334704041481018,36.863874711008975,60037,264.109375
td3,GRAIN-TD3,Actor,1,0.32434213161468506,0.3166118562221527,117.03084525899612,468488,284.87744140625
closed_form,AGT-closed,Actor,2,0.32697370648384094,0.3388157784938812,104.11211138902581,60037,460.64111328125
closed+calib,AGT,Actor,2,0.3328947424888611,0.32894736528396606,177.39718072800315,60423,276.48095703125
random,RandomGranularityPolicy,Actor,2,0.31315791606903076,0.3231907784938812,50.11362582500442,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,2,0.3236842155456543,0.3347039520740509,54.55867294699419,60037,264.109375
td3,GRAIN-TD3,Actor,2,0.32697370648384094,0.32730263471603394,120.08396629200433,468488,284.87744140625
closed_form,AGT-closed,Actor,3,0.3190789520740509,0.32236841320991516,100.08635436597979,60037,487.7880859375
closed+calib,AGT,Actor,3,0.3322368562221527,0.3203125,175.5609792030009,60423,276.48095703125
random,RandomGranularityPolicy,Actor,3,0.3328947424888611,0.3244243562221527,50.448049208003795,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,3,0.3190789520740509,0.33018091320991516,42.02877508700476,60037,264.109375
td3,GRAIN-TD3,Actor,3,0.3230263292789459,0.3244243562221527,122.13954838100472,468488,284.87744140625
closed_form,AGT-closed,Actor,4,0.33815792202949524,0.3231907784938812,101.95393616298679,60037,487.7880859375
closed+calib,AGT,Actor,4,0.3322368562221527,0.32771381735801697,165.26129723599297,60423,276.48095703125
random,RandomGranularityPolicy,Actor,4,0.31381580233573914,0.3347039520740509,47.393422502995236,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,4,0.3328947424888611,0.3388157784938812,50.1250154870213,60037,264.109375
td3,GRAIN-TD3,Actor,4,0.3236842155456543,0.3075657784938812,124.85971029300708,468488,284.87744140625
closed_form,AGT-closed,Actor,5,0.343421071767807,0.3305920958518982,106.17325866100146,60037,468.45751953125
closed+calib,AGT,Actor,5,0.33355265855789185,0.3310032784938812,168.73303315998055,60423,276.48095703125
random,RandomGranularityPolicy,Actor,5,0.32500001788139343,0.3227795958518982,48.17901647600229,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,5,0.3328947424888611,0.3252467215061188,49.39358138499665,60037,264.109375
td3,GRAIN-TD3,Actor,5,0.3282894790172577,0.31332236528396606,117.07584533799672,468488,284.87744140625
closed_form,AGT-closed,Actor,6,0.3256579041481018,0.34046053886413574,111.35404282598756,60037,460.64111328125
closed+calib,AGT,Actor,6,0.3256579041481018,0.33552631735801697,185.19513008900685,60423,276.48095703125
random,RandomGranularityPolicy,Actor,6,0.30855265259742737,0.31866776943206787,52.30276281700935,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,6,0.31973686814308167,0.32113486528396606,49.11011206699186,60037,264.109375
td3,GRAIN-TD3,Actor,6,0.3217105269432068,0.3240131735801697,129.07879101799335,468488,284.87744140625
closed_form,AGT-closed,Actor,7,0.32894739508628845,0.3190789520740509,102.19210346601903,60037,487.7880859375
closed+calib,AGT,Actor,7,0.3328947424888611,0.32483553886413574,174.2668803340057,60423,276.48095703125
random,RandomGranularityPolicy,Actor,7,0.32236844301223755,0.3227795958518982,50.16935569798807,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,7,0.3328947424888611,0.32894736528396606,53.240714282990666,60037,264.109375
td3,GRAIN-TD3,Actor,7,0.31381580233573914,0.31702303886413574,127.29010247800034,468488,284.87744140625
closed_form,AGT-closed,Actor,8,0.3210526406764984,0.33675986528396606,102.59921864498756,60037,487.7880859375
closed+calib,AGT,Actor,8,0.3302631676197052,0.3330592215061188,169.64742483300506,60423,276.48095703125
random,RandomGranularityPolicy,Actor,8,0.3256579041481018,0.3215460479259491,46.46911721199285,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,8,0.3230263292789459,0.3330592215061188,50.23967717500636,60037,264.109375
td3,GRAIN-TD3,Actor,8,0.3210526406764984,0.3215460479259491,125.53139325298253,468488,284.87744140625
closed_form,AGT-closed,Actor,9,0.339473694562912,0.32236841320991516,104.72299387599924,60037,468.45751953125
closed+calib,AGT,Actor,9,0.33552631735801697,0.32072368264198303,178.46441025700187,60423,276.48095703125
random,RandomGranularityPolicy,Actor,9,0.35592105984687805,0.3396381735801697,51.488987025019014,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,9,0.3348684310913086,0.3244243562221527,44.64847282698611,60037,264.109375
td3,GRAIN-TD3,Actor,9,0.3236842155456543,0.3125,121.75641792800161,468488,284.87744140625
